Date,rank,title,search,summary,source,link
8/11/2018,15,Timberwolves vs Lakers,100K+,"LeBron James, Lakers win another nail-biter, hold off Derrick Rose, Timberwolves",USA TODAY | 5d ago,https://www.usatoday.com/story/sports/columnist/martin-rogers/2018/11/08/lebron-james-lakers-timberwolves-jimmy-butler/1927551002/
8/11/2018,16,Trump press conference,100K+,Fact-checking Trump's combative press conference,CNN | 4d ago,https://www.cnn.com/2018/11/08/politics/fact-check-trump-press-conference/index.html
8/11/2018,17,Billie Eilish,100K+,"Billie Eilish Is 16, and She's Ready to Rule the Youth",The Ringer (blog) | 5d ago,https://www.theringer.com/music/2018/11/7/18071598/billie-eilish-when-the-partys-over-review
8/11/2018,18,Maine election 2018,100K+,Sen. Collins reacts to Maine's 2018 election results,NewsCenterMaine.com WCSH-WLBZ | 5d ago,https://www.newscentermaine.com/mobile/article/news/politics/voice-of-the-voter/sen-collins-reacts-to-maines-2018-election-results/97-612288783
8/11/2018,19,Breaking Bad Movie,100K+,Bryan Cranston confirms 'Breaking Bad' movie happening,CNN | 4d ago,https://www.cnn.com/2018/11/08/entertainment/bryan-cranston-breaking-bad-movie/index.html
8/11/2018,20,Bryce Harper,100K+,Nationals' offer to Bryce Harper was biggest free agent deal in US sports ...,Washington Post | 5d ago,https://www.washingtonpost.com/sports/2018/11/07/nationals-offer-bryce-harper-was-biggest-free-agent-deal-us-sports-history-what-now/
7/11/2018,1,Stacey Abrams,5M+,Abrams campaign: We don't accept Kemp declaring himself the winner in Georgia ...,CNN | 5d ago,https://www.cnn.com/2018/11/07/politics/stacey-abrams-brian-kemp-georgia-governors-race/index.html
7/11/2018,2,Beto O'Rourke,5M+,Trending: Beto O'Rourke could've used that Beyonce endorsement a bit earlier.,Washington Post | 5d ago,https://www.washingtonpost.com/express/2018/11/08/trending-beto-orourke-couldve-used-that-beyonce-endorsement-bit-earlier/
7/11/2018,3,midterm elections,5M+,How results of midterm elections will impact your money and 401(k),USA TODAY | 5d ago,https://www.usatoday.com/story/money/2018/11/08/midterm-election-stock-market-impact/1920273002/
7/11/2018,4,Andrew Gillum,2M+,This is why Andrew Gillum lost the Florida governor race to Ron DeSantis,USA TODAY | 5d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/florida-governor-face-why-andrew-gillum-lost-ron-desantis/1925307002/
7/11/2018,5,US Senate election Results,2M+,Republicans Hold the Senate: All the Key Results,New York Magazine | 6d ago,http://nymag.com/intelligencer/2018/11/2018-us-senate-midterm-election-results.html
7/11/2018,6,Jeff Sessions,2M+,What Sessions' firing means for the Mueller investigation,CNN | 4d ago,https://www.cnn.com/2018/11/08/politics/what-does-sessions-firing-mean-for-mueller/index.html
7/11/2018,7,Voting results,2M+,Election results in Florida and Georgia prompt soul-searching for African ...,Washington Post | 5d ago,https://www.washingtonpost.com/politics/election-results-in-florida-and-georgia-prompt-soul-searching-for-african-americans/2018/11/07/c27e7c40-5ae5-11e8-858f-12becb4d6067_story.html
7/11/2018,8,CNN,2M+,White House pulls CNN reporter Jim Acosta's pass after contentious news conference,CNN | 5d ago,https://www.cnn.com/2018/11/07/media/trump-cnn-press-conference/index.html
7/11/2018,9,Scott Walker,2M+,How the Democrats finally defeated Wisconsin Gov. Scott Walker,Washington Post | 5d ago,https://www.washingtonpost.com/politics/how-the-democrats-finally-defeated-wisconsin-gov-scott-walker/2018/11/07/3377ed17-9cbe-4537-8b2a-acd0c37a8d35_story.html
7/11/2018,10,Arizona Senate race,2M+,Democrat Kyrsten Sinema pulls ahead in Arizona Senate race,Vox | 4d ago,https://www.vox.com/2018/11/8/18075478/midterm-elections-arizona-vote-count-mcsally-sinema
7/11/2018,11,California election results,2M+,"Election results 2018: Proposition 6 gas tax repeal crashes, burns [Updated]",Curbed SF | 5d ago,https://sf.curbed.com/2018/11/7/18071282/election-night-2018-california-prop-6-gas-tax-repeal-rejected
7/11/2018,12,Republican Party,1M+,The Republican Party Goes All-in on Trumpism,The Atlantic | 5d ago,https://www.theatlantic.com/politics/archive/2018/11/republicans-will-double-down-trumpism-after-2018/575155/
7/11/2018,13,Democratic Party,1M+,Congressional candidates sharply criticize AL Democratic Party,WSFA | 5d ago,http://www.wsfa.com/2018/11/08/congressional-candidates-sharply-criticize-al-democratic-party/
7/11/2018,14,Florida Senate race,1M+,Bill Nelson presses ahead with recount in Florida Senate race,Tallahassee.com | 5d ago,https://www.tallahassee.com/story/news/2018/11/07/election-results-rick-scott-recount/1927003002/
7/11/2018,17,Alexandria Ocasio-Cortez,500K+,Alexandria Ocasio-Cortez Will Push Washington. Will Washington Push Back?,New York Times | 5d ago,https://www.nytimes.com/2018/11/07/nyregion/ocasio-cortez-congress-washington.html
7/11/2018,18,JB Pritzker,500K+,Illinois Governor-elect JB Pritzker talks about priorities in one-on-one interview,WLS-TV | 5d ago,https://abc7chicago.com/politics/jb-pritzker-talks-about-his-priorities-after-elected-as-illinois-next-governor/4637776/
7/11/2018,19,Montana Senate race,500K+,Jon Tester projected to defeat Matt Rosendale in Montana Senate race,Fox News | 5d ago,https://www.foxnews.com/politics/jon-tester-projected-to-defeat-matt-rosendale-in-montana-senate-race
7/11/2018,20,Where Do I vote,500K+,Where Is My Polling Place? Answers to Common Election Day Questions,New York Times | 6d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
6/11/2018,1,Election results,10M+,"Election results: Red states get redder, blue districts bluer, the partisan ...",USA TODAY | 5d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/election-results-trump-partisanship-republicans-democrats-divide/1918468002/
6/11/2018,2,where Do I vote #Electionday,10M+,"How Google, Apple, Facebook and other tech companies are getting out the vote ...",CNBC | 6d ago,https://www.cnbc.com/2018/11/06/google-facebook-and-twitter-election-day-get-out-the-vote-efforts.html
6/11/2018,3,Where to Vote,2M+,"Voter Guide: How, When and Where to Vote on Tuesday",New York Times | 1w ago,https://www.nytimes.com/2018/11/05/us/politics/midterm-elections-voting-guide.html
6/11/2018,4,Fox News,2M+,Fox News Has Highest-Rated Midterm Coverage In Cable News History,Forbes | 5d ago,https://www.forbes.com/sites/markjoyella/2018/11/07/fox-news-has-highest-rated-midterm-coverage-in-cable-news-history/
6/11/2018,7,Ted Cruz,1M+,Where Ted Cruz's close victory over Beto O'Rourke stands among Texas ...,Texas Tribune | 5d ago,https://www.texastribune.org/2018/11/07/ted-cruz-beto-orourke-texas-history-election-results/
6/11/2018,8,Midterm elections 2018,500K+,Midterm elections 2018: When are the next US elections?,Express.co.uk | 5d ago,https://www.express.co.uk/news/world/1042436/Midterm-elections-2018-when-are-next-US-elections-2020-presidential-election
6/11/2018,9,Gavin Newsom,500K+,Gavin Newsom Elected Governor of California,New York Times | 6d ago,https://www.nytimes.com/2018/11/07/us/california-midterms-election.html
6/11/2018,10,Am I Registered to Vote,500K+,Where Is My Polling Place? Answers to Common Election Day Questions,New York Times | 6d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
6/11/2018,12,Fentanyl,200K+,"Fentanyl: Drug That Killed Mac Miller, Prince and Tom Petty Has Long History ...",PEOPLE.com | 1w ago,https://people.com/music/fentanyl-drug-that-killed-prince-has-long-history-of-abuse/
6/11/2018,13,vote,200K+,"Broken machines, rejected ballots and long lines: voting problems emerge as ...",Washington Post | 6d ago,https://www.washingtonpost.com/politics/broken-machines-rejected-ballots-and-long-lines-voting-problems-emerge-as-americans-go-to-the-polls/2018/11/06/ffd11e52-dfa8-11e8-b3f0-62607289efee_story.html
6/11/2018,14,Brian Kemp,200K+,"Brian Kemp, ahead in vote count in Georgia, says 'victory is near'",Washington Post | 5d ago,https://www.washingtonpost.com/politics/2018/live-updates/midterms/midterm-election-updates/brian-kemp-ahead-in-vote-count-in-georgia-says-victory-is-near/
6/11/2018,15,Election Day,200K+,"Election Day 2018: Tracking Results For The House, Senate And Governor's Mansions",Forbes | 6d ago,https://www.forbes.com/sites/alexknapp/2018/11/06/election-day-2018-tracking-results-for-the-house-senate-and-governors-mansions/
6/11/2018,17,Champions League,200K+,5 Talking Points From Matchday 4 Of The UEFA Champions League,Forbes | 5d ago,https://www.forbes.com/sites/cybrown/2018/11/07/5-talking-points-from-matchday-4-of-the-uefa-champions-league/
6/11/2018,18,Dianne Feinstein,200K+,California returns Dianne Feinstein to another Senate term,Santa Rosa Press Democrat | 5d ago,https://www.pressdemocrat.com/news/8924445-181/california-returns-dianne-feinstein-to
6/11/2018,19,voting,200K+,Florida restores voting rights to more than 1 million felons,CNN | 5d ago,https://www.cnn.com/2018/11/07/politics/florida-felons-voting-rights/index.html
6/11/2018,20,Dónde votar,200K+,"Why it matters that 'Donde votar,' Spanish for 'Where to vote,' was Google's ...",ABC News | 6d ago,https://abcnews.go.com/Politics/matters-donde-votar-spanish-vote-googles-top-search/story?id=59003457
5/11/2018,2,Saints,1M+,Saints and Rams show off the best the NFL has to offer,Washington Post | 1w ago,https://www.washingtonpost.com/sports/saints-and-rams-show-off-the-best-the-nfl-has-to-offer/2018/11/04/f95d6b44-e060-11e8-b759-3d88a5ce9e19_story.html
5/11/2018,3,Where Do I Vote,500K+,Where Do I Vote? Am I Registered? Answers to Common Election Day Questions,New York Times | 6d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
5/11/2018,4,Midterm elections,500K+,"Election night viewers' guide: How the midterms will unfold, hour by hour",CNN | 6d ago,https://www.cnn.com/2018/11/06/politics/midterm-election-night-viewers-guide/index.html
5/11/2018,5,The Walking Dead,500K+,Wait That Was Maggie's Last Episode Of 'The Walking Dead' Also?,Forbes | 1w ago,https://www.forbes.com/sites/erikkain/2018/11/05/forget-rick-grimes-this-is-the-walking-dead-departure-im-upset-about/
5/11/2018,6,Pete Davidson,500K+,"Pete Davidson faces fallout over war-wound joke, but he need not apologize to ...",Pittsburgh Post-Gazette | 1w ago,http://www.post-gazette.com/ae/tv-radio/2018/11/05/Pete-Davidson-Dan-Crenshaw-Saturday-Night-Live-eye-patch-joke-fallout/stories/201811050131
5/11/2018,7,Michigan football,500K+,"Michigan football visits Rutgers next — there's no way it loses, right?",Detroit Free Press | 1w ago,https://www.freep.com/story/sports/college/university-michigan/wolverines/2018/11/04/michigan-football-rutgers/1883260002/
5/11/2018,8,Texans,500K+,"Monday's Texans takeaways: Dramatic turnaround, an improved Deshaun Watson and ...",Houston Chronicle | 1w ago,https://www.houstonchronicle.com/sports/texas-sports-nation/texans/article/Monday-s-Texans-takeaways-Dramatic-turnaround-13364116.php
5/11/2018,9,Mac Miller,200K+,"Mac Miller died of an accidental overdose, coroner finds",CNN | 1w ago,https://www.cnn.com/2018/11/05/entertainment/mac-miller-cause-of-death/index.html
5/11/2018,12,Buffalo Bills,200K+,Bills continue to defy the odds and get worse and worse on offense,Rochester Democrat and Chronicle | 1w ago,https://www.democratandchronicle.com/story/sports/football/nfl/bills/2018/11/05/buffalo-bills-offense-worst-nfl-nathan-peterman-lesean-mccoy/1893129002/
5/11/2018,13,Floyd Mayweather,200K+,Floyd Mayweather to make Rizin debut in December,ESPN | 1w ago,http://www.espn.com/boxing/story/_/id/25181251/floyd-mayweather-schedules-bout-rizin-fighting-federation
5/11/2018,14,The Breakthrough Prize,200K+,"The Breakthrough Prizes Have Money, but They Need Diversity Too",WIRED | 1w ago,https://www.wired.com/story/to-shake-up-science-the-breakthrough-prizes-need-more-than-money/
5/11/2018,15,Chargers,200K+,Chargers release struggling kicker Caleb Sturgis,ESPN | 1w ago,http://www.espn.com/nfl/story/_/id/25186350/los-angeles-chargers-release-kicker-caleb-sturgis
5/11/2018,16,Angela Simmons,200K+,'Growing Up Hip Hop' star Angela Simmons' ex-boyfriend Sutton Tennyson killed ...,USA TODAY | 1w ago,https://www.usatoday.com/story/life/people/2018/11/04/angela-simmons-ex-boyfriend-sutton-tennyson-killed-im-numb/1885600002/
5/11/2018,17,Miami Dolphins,200K+,Dolphins safety Reshad Jones pulled himself from Jets game,ESPN | 1w ago,http://www.espn.com/nfl/story/_/id/25179530/miami-dolphins-safety-reshad-jones-pulled-game-vs-new-york-jets
5/11/2018,18,Bohemian Rhapsody movie,200K+,"Review: In “Bohemian Rhapsody,” Freddie Mercury Is More Interesting Than His Music",The New Yorker | 1w ago,https://www.newyorker.com/culture/the-front-row/review-in-bohemian-rhapsody-freddie-mercury-is-more-interesting-than-his-music
5/11/2018,19,Maggie Rogers,200K+,"For Her 'SNL' Debut, Maggie Rogers Performs 'Light On' And 'Fallingwater'",NPR | 1w ago,https://www.npr.org/2018/11/04/663032124/for-her-snl-debut-maggie-rogers-performs-light-on-and-fallingwater
5/11/2018,20,Black Friday Deals 2018,200K+,Costco's Black Friday 2018 Ad Arrives With These 5 Outstanding Tech Deals,Fortune | 1w ago,http://fortune.com/2018/11/05/costco-black-friday-2018-deals/
4/11/2018,1,Daylight Saving 2018,2M+,"Daylight saving time 2018: How it affects your sleep, and tips to adjust to ...",ABC News | 1w ago,https://abcnews.go.com/Health/daylight-saving-time-2018-affects-sleep-tips-adjust/story?id=58922636
4/11/2018,2,Alabama Football,2M+,All Hail Our Alabama Football Overlords,Wall Street Journal | 1w ago,https://www.wsj.com/articles/all-hail-our-alabama-football-overlords-1541349381
4/11/2018,3,UFC 230,1M+,"UFC 230 Results: Winners, Bonuses, Twitter Reaction And Highlights",Forbes | 1w ago,https://www.forbes.com/sites/brianmazique/2018/11/03/ufc-230-live-results-winners-bonuses-twitter-reaction-and-highlights/
4/11/2018,4,Ariana Grande,500K+,"Ariana Grande drops song about her exes, and Pete Davidson addresses break up ...",CNN | 1w ago,https://www.cnn.com/2018/11/04/entertainment/ariana-grande-thank-you-next-song/index.html
4/11/2018,5,What time Is It,500K+,Like clockwork: How daylight saving time stumps hospital record keeping,USA TODAY | 1w ago,https://www.usatoday.com/story/news/health/2018/11/03/daylight-saving-time-hospital-electronic-medical-records-emergency-fall-back/1864579002/
4/11/2018,6,NYC Marathon,200K+,2018 New York City Marathon Photos,New York Times | 1w ago,https://www.nytimes.com/2018/11/04/sports/nyc-marathon-photos.html
4/11/2018,8,Thank u next,200K+,"Ariana Grande's 'Thank u, next' is the latest breakup song to preach the ...",Washington Post | 1w ago,https://www.washingtonpost.com/lifestyle/2018/11/05/ariana-grandes-thank-u-next-is-latest-breakup-song-preach-importance-self-love/
4/11/2018,9,Tallahassee shooting,200K+,Man who had been accused of groping opens fire on Tallahassee yoga class ...,Washington Post | 1w ago,https://www.washingtonpost.com/nation/2018/11/03/man-with-groping-history-opens-fire-tallahassee-yoga-class-killing-two-police-say/
4/11/2018,10,WVU football,200K+,"WVU football notebook: 'Experienced, mature' Mountaineers found a way to win ...",Charleston Gazette-Mail | 1w ago,https://www.wvgazettemail.com/wvu-football-notebook-experienced-mature-mountaineers-found-a-way-to/article_620dbda4-9591-5e9b-aa56-7b10c27d5ade.html
4/11/2018,11,Roy Hargrove,100K+,"Roy Hargrove, Grammy-Winning Jazz Trumpeter, Dies At 49",NPR | 1w ago,https://www.npr.org/2018/11/03/663895387/roy-hargrove-grammy-winning-jazz-trumpeter-dies-at-49
4/11/2018,12,Lakers vs Trail Blazers,100K+,"Lakers vs. Trail Blazers odds, pick: Predictions on gambling spread, over ...",CBSSports.com | 1w ago,https://www.cbssports.com/nba/news/lakers-vs-trail-blazers-odds-pick-predictions-on-gambling-spread-overunder-total-points-looks-like-safest-play/
4/11/2018,13,Kavanaugh,100K+,Trump on false Kavanaugh accusation: 'How about the other ones?',The Hill | 1w ago,https://thehill.com/homenews/administration/414802-trump-on-false-kavanaugh-accusation-how-about-the-other-ones
4/11/2018,14,Real Madrid,100K+,Vinicius Jr. makes difference as Real Madrid win in Solari's La Liga debut,ESPN | 1w ago,http://www.espn.com/soccer/report?gameId=521820
4/11/2018,15,Tyson Chandler,100K+,"Tyson Chandler bought out by Suns, plans to sign with Lakers",ESPN | 1w ago,http://www.espn.com/espnw/sports/article/25168538/tyson-chandler-bought-phoenix-suns-eyes-los-angeles-lakers
4/11/2018,16,Arsenal,100K+,Xhaka confident Arsenal will finish in top four,Goal.com | 1w ago,https://www.goal.com/en/news/xhaka-confident-arsenal-will-finish-in-top-four/s37hc3ez7rvvz8qsn8foigq3
4/11/2018,18,Devin White,100K+,Watch as LSU's Devin White is 'freed' for second half against Alabama at Tiger ...,The Advocate | 1w ago,https://www.theadvocate.com/baton_rouge/sports/lsu/article_95397ffc-dfd6-11e8-b3a1-8f46aeb949bc.html
4/11/2018,19,Sam Bradford,50K+,Arizona Cardinals release benched quarterback Sam Bradford,ESPN | 1w ago,http://www.espn.com/nfl/story/_/id/25167705/arizona-cardinals-release-benched-quarterback-sam-bradford
4/11/2018,20,Bruce Irvin,50K+,Raiders release highest-paid defensive player Bruce Irvin after role ...,CBSSports.com | 1w ago,https://www.cbssports.com/nfl/news/raiders-reportedly-release-highest-paid-defensive-player-bruce-irvin-after-role-diminishes-in-2018/
3/11/2018,1,LSU vs Alabama,1M+,Alabama Delivers a Sobering Reminder of Its Dominance With Beatdown of LSU,Sports Illustrated | 1w ago,https://www.si.com/college-football/2018/11/03/alabama-lsu-score-tua-tagovailoa-devin-white
3/11/2018,2,Alec Baldwin,200K+,How Saturday Night Live Addressed Alec Baldwin's Arrest and Pete Davidson's ...,Vanity Fair | 1w ago,https://www.vanityfair.com/hollywood/2018/11/saturday-night-live-alec-baldwin-arrest-joke
3/11/2018,4,Overwatch,200K+,"Here's what we know about Echo, one of Overwatch's future heroes",Heroes Never Die | 1w ago,https://www.heroesneverdie.com/2018/11/3/18059224/overwatch-echo-hero-blizzcon
3/11/2018,5,WWE Crown Jewel,100K+,"WWE Crown Jewel 2018 Review: WWE Ditches Saudi Propaganda, Delivers Shameless ...",Forbes | 1w ago,https://www.forbes.com/sites/alfredkonuwa/2018/11/03/wwe-crown-jewel-2018-review-wwe-ditches-saudi-propaganda-delivers-shameless-ppv-on-its-own-merits/
3/11/2018,6,House of Cards,100K+,House of Cards Show Runners Spill the Details on Those Crazy Character Deaths,Vanity Fair | 1w ago,https://www.vanityfair.com/hollywood/2018/11/house-of-cards-show-runners-finale-spoilers
3/11/2018,8,Destiny 2,100K+,How To Download 'Destiny 2' For Free Right Now,Forbes | 1w ago,https://www.forbes.com/sites/davidthier/2018/11/02/how-to-download-destiny-2-for-free-right-now-and-keep-it-forever/
3/11/2018,9,Timberwolves vs Warriors,100K+,LeBron James a big fan of Warriors' ball movement vs. Timberwolves,NBCSports.com | 1w ago,https://www.nbcsports.com/bayarea/warriors/lebron-james-big-fan-warriors-ball-movement-vs-timberwolves
3/11/2018,10,Five Feet Apart,100K+,"The ""Five Feet Apart"" Trailer Featuring Cole Sprouse and Haley Lu Richardson ...",TeenVogue.com | 1w ago,https://www.teenvogue.com/story/five-feet-apart-trailer-cole-sprouse-haley-lu-richardson
3/11/2018,11,Tornado Warning,100K+,Severe Storm Sparks Tornado Warnings for 9 Pa. and NJ Counties; Flash Flooding ...,NBC 10 Philadelphia | 1w ago,https://www.nbcphiladelphia.com/weather/Tornado-Warning-Issued-for-Parts-of-Berks-Chester-and-Montgomery-Counties-499471141.html
3/11/2018,12,Justin Timberlake,50K+,"Who knows Justin Timberlake better, wife Jessica Biel or BFF Jimmy Fallon?",USA TODAY | 1w ago,https://www.usatoday.com/story/life/entertainthis/2018/11/02/jimmy-fallon-jessica-biel-test-their-justin-timberlake-knowledge/1858026002/
3/11/2018,13,admonished,50K+,Magic Johnson reportedly 'admonished' Lakers coach Luke Walton for the Lakers ...,Business Insider | 1w ago,https://www.businessinsider.com/lakers-magic-johnson-luke-walton-meeting-slow-start-2018-11
3/11/2018,14,Carnival,50K+,Passengers panicked after Carnival cruise ship tips,fox8.com | 1w ago,https://fox8.com/2018/11/03/passengers-panicked-after-carnival-cruise-ship-tips-over/
3/11/2018,15,James Charles,50K+,James Charles Launches His First-Ever Makeup Collection,Entertainment Tonight | 1w ago,https://www.etonline.com/james-charles-launches-his-first-ever-makeup-collection-112890
3/11/2018,17,Brian May,50K+,Brian May saving hedgehogs from being burnt alive on Bonfire Night,Express.co.uk | 1w ago,https://www.express.co.uk/news/nature/1040002/Brian-May-saving-hedgehogs-on-Bonfire-Night
3/11/2018,18,Post Malone Crocs,50K+,Post Malone's Crocs Collaboration Has Already Sold Out,Billboard | 1w ago,https://www.billboard.com/articles/columns/hip-hop/8482957/post-malones-crocs-collaboration-sells-out
3/11/2018,19,Barbra Streisand,50K+,"Barbra Streisand Says She Has to ""Play Games"" Before Sleeping Because of Trump",Hollywood Reporter | 1w ago,https://www.hollywoodreporter.com/live-feed/barbra-streisand-has-play-games-before-sleeping-because-trump-1157893
3/11/2018,20,Clayton Kershaw,50K+,"Dodgers, Clayton Kershaw agree on three-year, $93 million contract extension",Washington Post | 1w ago,https://www.washingtonpost.com/sports/2018/11/02/dodgers-clayton-kershaw-agree-three-year-million-contract-extension/
